[06:06:32]  Logger Initialized
[06:06:33]  [18:06:33] Epoch 1/500: train loss: 0.6806, train accuracy: 0.6533%, test loss: 0.677, test accuracy: 0.6475% | sn[0.5172] sp[0.7778]
[06:06:33]  [18:06:33] Epoch 2/500: train loss: 0.6743, train accuracy: 0.6316%, test loss: 0.6691, test accuracy: 0.682% | sn[0.5862] sp[0.7778]
[06:06:33]  [18:06:33] Epoch 3/500: train loss: 0.6669, train accuracy: 0.6645%, test loss: 0.6612, test accuracy: 0.6635% | sn[0.5862] sp[0.7407]
[06:06:33]  [18:06:33] Epoch 4/500: train loss: 0.6597, train accuracy: 0.672%, test loss: 0.654, test accuracy: 0.6635% | sn[0.5862] sp[0.7407]
[06:06:33]  [18:06:33] Epoch 5/500: train loss: 0.6532, train accuracy: 0.689%, test loss: 0.6474, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 6/500: train loss: 0.6473, train accuracy: 0.689%, test loss: 0.6414, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 7/500: train loss: 0.6419, train accuracy: 0.6796%, test loss: 0.6359, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 8/500: train loss: 0.637, train accuracy: 0.688%, test loss: 0.6309, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 9/500: train loss: 0.6326, train accuracy: 0.6786%, test loss: 0.6264, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 10/500: train loss: 0.6286, train accuracy: 0.6786%, test loss: 0.6222, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 11/500: train loss: 0.6248, train accuracy: 0.6786%, test loss: 0.6183, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 12/500: train loss: 0.6213, train accuracy: 0.6786%, test loss: 0.6146, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 13/500: train loss: 0.6181, train accuracy: 0.6786%, test loss: 0.6112, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 14/500: train loss: 0.615, train accuracy: 0.6786%, test loss: 0.6081, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 15/500: train loss: 0.6122, train accuracy: 0.6786%, test loss: 0.6051, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 16/500: train loss: 0.6095, train accuracy: 0.6786%, test loss: 0.6022, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 17/500: train loss: 0.6069, train accuracy: 0.6786%, test loss: 0.5996, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 18/500: train loss: 0.6044, train accuracy: 0.6871%, test loss: 0.597, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 19/500: train loss: 0.6021, train accuracy: 0.6871%, test loss: 0.5946, test accuracy: 0.6622% | sn[0.6207] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 20/500: train loss: 0.5999, train accuracy: 0.6871%, test loss: 0.5923, test accuracy: 0.6794% | sn[0.6552] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 21/500: train loss: 0.5977, train accuracy: 0.6956%, test loss: 0.5901, test accuracy: 0.6967% | sn[0.6897] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 22/500: train loss: 0.5957, train accuracy: 0.704%, test loss: 0.588, test accuracy: 0.6967% | sn[0.6897] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 23/500: train loss: 0.5937, train accuracy: 0.704%, test loss: 0.586, test accuracy: 0.6967% | sn[0.6897] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 24/500: train loss: 0.5918, train accuracy: 0.704%, test loss: 0.584, test accuracy: 0.6967% | sn[0.6897] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 25/500: train loss: 0.5899, train accuracy: 0.704%, test loss: 0.5821, test accuracy: 0.6967% | sn[0.6897] sp[0.7037]
[06:06:33]  [18:06:33] Epoch 26/500: train loss: 0.5881, train accuracy: 0.6946%, test loss: 0.5803, test accuracy: 0.6967% | sn[0.6897] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 27/500: train loss: 0.5864, train accuracy: 0.6946%, test loss: 0.5785, test accuracy: 0.6967% | sn[0.6897] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 28/500: train loss: 0.5846, train accuracy: 0.6946%, test loss: 0.5768, test accuracy: 0.6967% | sn[0.6897] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 29/500: train loss: 0.583, train accuracy: 0.6946%, test loss: 0.5751, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 30/500: train loss: 0.5813, train accuracy: 0.6946%, test loss: 0.5735, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 31/500: train loss: 0.5797, train accuracy: 0.6946%, test loss: 0.5719, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 32/500: train loss: 0.5781, train accuracy: 0.6946%, test loss: 0.5703, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 33/500: train loss: 0.5765, train accuracy: 0.6946%, test loss: 0.5687, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 34/500: train loss: 0.5749, train accuracy: 0.7031%, test loss: 0.5672, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 35/500: train loss: 0.5734, train accuracy: 0.7031%, test loss: 0.5657, test accuracy: 0.6967% | sn[0.6897] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 36/500: train loss: 0.5719, train accuracy: 0.7031%, test loss: 0.5642, test accuracy: 0.6967% | sn[0.6897] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 37/500: train loss: 0.5703, train accuracy: 0.7031%, test loss: 0.5627, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 38/500: train loss: 0.5688, train accuracy: 0.7031%, test loss: 0.5612, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 39/500: train loss: 0.5673, train accuracy: 0.7031%, test loss: 0.5597, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 40/500: train loss: 0.5658, train accuracy: 0.7031%, test loss: 0.5583, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 41/500: train loss: 0.5643, train accuracy: 0.7031%, test loss: 0.5568, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 42/500: train loss: 0.5627, train accuracy: 0.7031%, test loss: 0.5554, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 43/500: train loss: 0.5612, train accuracy: 0.7031%, test loss: 0.5539, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 44/500: train loss: 0.5597, train accuracy: 0.7031%, test loss: 0.5524, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 45/500: train loss: 0.5582, train accuracy: 0.7031%, test loss: 0.551, test accuracy: 0.7139% | sn[0.7241] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 46/500: train loss: 0.5567, train accuracy: 0.7031%, test loss: 0.5495, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
