[2023-06-09 12:38:27,668][root][INFO] - Logger initialized
[2023-06-09 12:38:39,659][root][INFO] - Found 972 patients in this dataset
[2023-06-09 12:42:08,581][root][INFO] - Basic Split: 972 samples
[2023-06-09 12:42:08,605][root][INFO] - Train set has 786 samples, val has 88 samples, test has 98 samples
[2023-06-09 12:42:08,621][root][INFO] - 	[786] defaultdict(<class 'int'>, {1: 396, 0: 390})
[2023-06-09 12:42:08,637][root][INFO] - 	[88] defaultdict(<class 'int'>, {0: 44, 1: 44})
[2023-06-09 12:42:08,638][root][INFO] - 	[98] defaultdict(<class 'int'>, {0: 52, 1: 46})
[2023-06-09 12:42:08,795][root][INFO] - Train task initialized
[2023-06-09 12:42:08,796][root][INFO] - Starting training task...
[2023-06-09 12:42:08,796][root][INFO] - Doing a basic split...
[2023-06-09 12:43:00,459][root][INFO] - Epoch [1/200] Train Accuracy: 48.18%, Val Accuracy: 55.68%, Train Loss: 0.7001, Val Loss: 0.6925
[2023-06-09 12:43:50,023][root][INFO] - Epoch [2/200] Train Accuracy: 46.46%, Val Accuracy: 50.00%, Train Loss: 0.6986, Val Loss: 0.6962
[2023-06-09 12:44:38,544][root][INFO] - Epoch [3/200] Train Accuracy: 49.70%, Val Accuracy: 50.00%, Train Loss: 0.6992, Val Loss: 0.6976
[2023-06-09 12:45:27,142][root][INFO] - Epoch [4/200] Train Accuracy: 49.35%, Val Accuracy: 55.68%, Train Loss: 0.6982, Val Loss: 0.6918
[2023-06-09 12:46:15,732][root][INFO] - Epoch [5/200] Train Accuracy: 51.63%, Val Accuracy: 51.14%, Train Loss: 0.6935, Val Loss: 0.6924
[2023-06-09 12:47:04,400][root][INFO] - Epoch [6/200] Train Accuracy: 52.89%, Val Accuracy: 50.00%, Train Loss: 0.6917, Val Loss: 0.6917
[2023-06-09 12:47:52,982][root][INFO] - Epoch [7/200] Train Accuracy: 52.10%, Val Accuracy: 50.00%, Train Loss: 0.6952, Val Loss: 0.6897
[2023-06-09 12:48:41,674][root][INFO] - Epoch [8/200] Train Accuracy: 50.00%, Val Accuracy: 53.41%, Train Loss: 0.6969, Val Loss: 0.6910
[2023-06-09 12:49:30,264][root][INFO] - Epoch [9/200] Train Accuracy: 51.54%, Val Accuracy: 50.00%, Train Loss: 0.6913, Val Loss: 0.6928
[2023-06-09 12:50:18,959][root][INFO] - Epoch [10/200] Train Accuracy: 52.42%, Val Accuracy: 48.86%, Train Loss: 0.6930, Val Loss: 0.6961
[2023-06-09 12:51:07,550][root][INFO] - Epoch [11/200] Train Accuracy: 55.75%, Val Accuracy: 50.00%, Train Loss: 0.6900, Val Loss: 0.7025
[2023-06-09 12:51:56,240][root][INFO] - Epoch [12/200] Train Accuracy: 51.17%, Val Accuracy: 50.00%, Train Loss: 0.6965, Val Loss: 0.6948
[2023-06-09 12:52:44,816][root][INFO] - Epoch [13/200] Train Accuracy: 52.46%, Val Accuracy: 50.00%, Train Loss: 0.6942, Val Loss: 0.6958
[2023-06-09 12:53:33,458][root][INFO] - Epoch [14/200] Train Accuracy: 50.13%, Val Accuracy: 50.00%, Train Loss: 0.6948, Val Loss: 0.6922
[2023-06-09 12:54:22,027][root][INFO] - Epoch [15/200] Train Accuracy: 55.74%, Val Accuracy: 47.73%, Train Loss: 0.6897, Val Loss: 0.6965
[2023-06-09 12:55:10,663][root][INFO] - Epoch [16/200] Train Accuracy: 53.74%, Val Accuracy: 50.00%, Train Loss: 0.6943, Val Loss: 0.7029
[2023-06-09 12:55:59,205][root][INFO] - Epoch [17/200] Train Accuracy: 54.49%, Val Accuracy: 50.00%, Train Loss: 0.6890, Val Loss: 0.7016
[2023-06-09 12:56:47,864][root][INFO] - Epoch [18/200] Train Accuracy: 51.94%, Val Accuracy: 50.00%, Train Loss: 0.6956, Val Loss: 0.7013
[2023-06-09 12:57:36,480][root][INFO] - Epoch [19/200] Train Accuracy: 52.32%, Val Accuracy: 45.45%, Train Loss: 0.6967, Val Loss: 0.6948
[2023-06-09 12:58:25,159][root][INFO] - Epoch [20/200] Train Accuracy: 51.43%, Val Accuracy: 50.00%, Train Loss: 0.6899, Val Loss: 0.6928
[2023-06-09 12:59:13,776][root][INFO] - Epoch [21/200] Train Accuracy: 50.58%, Val Accuracy: 50.00%, Train Loss: 0.6934, Val Loss: 0.6938
[2023-06-09 13:00:02,448][root][INFO] - Epoch [22/200] Train Accuracy: 50.39%, Val Accuracy: 50.00%, Train Loss: 0.6941, Val Loss: 0.6955
